dataset IDTW Inf IP ISD LCSS LLR_DLS LLR_LK LNP MAN MIN MPdist NCD NP P PACF PC2 PDC PIC SAX SDTW shapeDTWHOG1D shapeDTWRawSub STS TAM TDCDTW TDHDTW TDSDTW TQ
FacesUCR 15.8 40.9 41.5 51.5 10.0 50.9 50.9 51.4 19.9 26.8 11.3 88.8 22.5 22.5 40.5 23.1 84.6 64.8 37.9 29.8 8.1 3.4 35.5 6.6 8.9 8.3 9.7 25.5
FiftyWords 49.7 47.5 66.6 73.4 31.6 80.7 80.7 71.6 33.2 39.8 30.5 95.4 60.0 60.0 67.5 36.9 90.1 74.5 42.0 42.0 24.2 20.2 48.4 24.6 30.6 29.0 28.6 42.6
Fish 50.3 20.6 28.6 66.3 85.1 70.3 70.3 58.9 20.6 20.0 9.7 84.0 36.6 36.6 45.1 21.7 73.1 75.4 81.7 21.1 5.1 5.1 18.9 13.7 20.0 14.3 17.7 60.0
FordA 39.0 36.4 7.2 3.6 27.6 11.9 11.9 4.6 31.6 33.7 27.7 10.6 17.6 17.6 13.3 33.5 32.4 24.4 36.6 26.1 23.2 27.7 32.0 39.6 24.8 41.7 25.8 35.0
FordB 42.1 43.2 21.0 21.9 35.4 26.9 26.9 29.1 39.9 40.5 34.8 48.9 33.1 33.1 31.9 39.4 41.5 35.8 46.7 37.8 31.7 34.4 41.0 39.9 36.9 39.5 38.8 45.4
FreezerRegularTrain 8.2 27.5 12.0 14.6 39.9 15.7 15.7 27.9 8.9 22.3 3.3 48.2 15.5 15.5 20.2 19.5 48.8 34.8 34.2 18.2 0.1 5.0 31.7 9.5 17.0 3.2 10.1 31.8
FreezerSmallTrain 30.7 30.9 19.8 23.6 33.3 25.1 25.1 39.9 29.7 32.6 2.5 50.7 31.6 31.6 28.4 32.4 47.0 32.8 32.0 32.3 3.1 24.9 40.3 21.5 28.5 18.9 26.4 31.8
Fungi 19.4 26.3 18.3 56.5 16.7 60.8 60.8 60.8 12.9 19.4 88.2 76.3 3.8 3.8 31.7 17.7 93.5 55.9 32.8 20.4 2.1 0.5 27.4 21.0 16.1 16.1 16.1 16.7
GestureMidAirD1 62.3 65.4 63.1 83.8 43.9 81.5 81.5 75.4 46.2 46.9 40.0 90.8 61.5 61.5 67.7 42.3 77.7 86.9 74.6 50.0 30.8 36.1 65.4 43.8 38.5 38.5 36.1 53.1
GestureMidAirD2 60.8 69.2 58.5 80.0 72.3 66.9 66.9 59.2 48.5 54.6 40.8 93.1 59.2 59.2 79.2 50.8 81.5 85.4 77.7 46.1 48.5 40.0 63.8 52.3 43.1 39.2 39.2 75.4
GestureMidAirD3 75.4 78.5 85.4 89.2 63.9 86.2 86.2 87.7 63.1 70.8 66.9 91.5 79.2 79.2 92.3 65.4 82.3 95.4 77.7 70.0 65.4 67.7 71.5 74.6 64.6 65.4 66.9 70.8
GesturePebbleZ1 27.3 79.1 55.8 72.7 12.8 68.0 68.0 80.2 13.4 53.5 9.3 77.9 25.6 25.6 79.7 26.7 62.8 84.9 30.8 17.4 40.7 5.8 83.7 18.6 19.8 11.1 19.2 25.6
