timestamp,open,high,low,close,volume
2022-01-25,51.7,51.87,50.295,50.99,7352048.0
2022-01-26,50.99,51.51,49.19,49.76,8940972.0
2022-01-27,50.21,50.73,49.725,50.0,6016036.0
2022-01-28,49.94,50.49,49.32,50.46,5430373.0
2022-01-31,50.04,50.095,49.005,49.76,10730973.0
2022-02-01,49.325,49.91,49.2,49.75,6054537.0
2022-02-02,49.81,50.66,49.72,50.41,5927259.0
2022-02-03,50.55,50.97,49.39,49.5,5413342.0
2022-02-04,49.18,49.4,48.17,48.6,6438216.0
2022-02-07,48.86,49.46,48.34,49.09,5010238.0
2022-02-08,49.02,49.92,48.77,49.79,7479570.0
2022-02-09,49.81,50.19,49.4,49.99,10266506.0
2022-02-10,49.77,49.9127,49.03,49.22,7382618.0
2022-02-11,49.34,49.98,48.41,48.7,7927409.0
2022-02-14,48.99,49.02,46.82,47.36,6819687.0
2022-02-15,47.64,48.455,47.64,48.3,5061015.0
2022-02-16,48.11,48.645,47.515,47.88,4655443.0
2022-02-17,47.2,47.32,46.72,46.81,4414756.0
2022-02-18,46.63,47.37,46.24,46.61,4599051.0
2022-02-22,46.82,46.88,45.5406,45.79,7600014.0
2022-02-23,45.98,46.18,45.39,45.46,5040395.0
2022-02-24,45.01,45.44,43.9314,45.27,8433722.0
2022-02-25,45.4,46.445,45.37,46.2,5700024.0
